"target","Tm1","Tm2","Tm3","Tm4","Tm5","Tm6","Tm7","Tm8","Tm9","Tm10","Tm11","Tm12","Tm13","Tm14","Tm15","Tm16","Tm17","Tm18","Tm19","Tm20"
-2,16,17,3,-6,-3,-11,30,34,20,-6,-18.5514434458417,-7.44855655415831,-16,-1,-19,-20,-6,8,22,-21
5,-2,16,17,3,-6,-3,-11,30,34,20,-6,-18.5514434458417,-7.44855655415831,-16,-1,-19,-20,-6,8,22
4,5,-2,16,17,3,-6,-3,-11,30,34,20,-6,-18.5514434458417,-7.44855655415831,-16,-1,-19,-20,-6,8
16,4,5,-2,16,17,3,-6,-3,-11,30,34,20,-6,-18.5514434458417,-7.44855655415831,-16,-1,-19,-20,-6
21,16,4,5,-2,16,17,3,-6,-3,-11,30,34,20,-6,-18.5514434458417,-7.44855655415831,-16,-1,-19,-20
-7,21,16,4,5,-2,16,17,3,-6,-3,-11,30,34,20,-6,-18.5514434458417,-7.44855655415831,-16,-1,-19
-29,-7,21,16,4,5,-2,16,17,3,-6,-3,-11,30,34,20,-6,-18.5514434458417,-7.44855655415831,-16,-1
-51,-29,-7,21,16,4,5,-2,16,17,3,-6,-3,-11,30,34,20,-6,-18.5514434458417,-7.44855655415831,-16
-32,-51,-29,-7,21,16,4,5,-2,16,17,3,-6,-3,-11,30,34,20,-6,-18.5514434458417,-7.44855655415831
44,-32,-51,-29,-7,21,16,4,5,-2,16,17,3,-6,-3,-11,30,34,20,-6,-18.5514434458417
13,44,-32,-51,-29,-7,21,16,4,5,-2,16,17,3,-6,-3,-11,30,34,20,-6
-19,13,44,-32,-51,-29,-7,21,16,4,5,-2,16,17,3,-6,-3,-11,30,34,20
-2.08746257717765,-19,13,44,-32,-51,-29,-7,21,16,4,5,-2,16,17,3,-6,-3,-11,30,34
-56.9125374228224,-2.08746257717765,-19,13,44,-32,-51,-29,-7,21,16,4,5,-2,16,17,3,-6,-3,-11,30
12,-56.9125374228224,-2.08746257717765,-19,13,44,-32,-51,-29,-7,21,16,4,5,-2,16,17,3,-6,-3,-11
27,12,-56.9125374228224,-2.08746257717765,-19,13,44,-32,-51,-29,-7,21,16,4,5,-2,16,17,3,-6,-3
33,27,12,-56.9125374228224,-2.08746257717765,-19,13,44,-32,-51,-29,-7,21,16,4,5,-2,16,17,3,-6
37,33,27,12,-56.9125374228224,-2.08746257717765,-19,13,44,-32,-51,-29,-7,21,16,4,5,-2,16,17,3
-2.68544989846146,37,33,27,12,-56.9125374228224,-2.08746257717765,-19,13,44,-32,-51,-29,-7,21,16,4,5,-2,16,17
-16.3145501015385,-2.68544989846146,37,33,27,12,-56.9125374228224,-2.08746257717765,-19,13,44,-32,-51,-29,-7,21,16,4,5,-2,16
21,-16.3145501015385,-2.68544989846146,37,33,27,12,-56.9125374228224,-2.08746257717765,-19,13,44,-32,-51,-29,-7,21,16,4,5,-2
